Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
100051,15-04-2025 12:50,14-04-2025 17:50,14-04-2025 17:50,Bhopal,401,FRAUD,29,F,None,Other Crime,4,No,
100052,31-08-2025 02:51,29-08-2025 04:51,29-08-2025 04:51,Jaipur,200,HOMICIDE,73,M,Blunt Object,Other Crime,13,Yes,18-09-2025 02:51
100053,19-07-2025 14:57,19-07-2025 04:57,19-07-2025 04:57,Kanpur,499,DRUG OFFENSE,55,M,Explosives,Traffic Fatality,21,No,
100054,21-07-2025 19:49,19-07-2025 03:49,19-07-2025 03:49,Delhi,254,COUNTERFEITING,19,F,Explosives,Other Crime,26,Yes,04-08-2025 19:49
100055,24-12-2025 09:57,22-12-2025 15:57,22-12-2025 15:57,Kolkata,146,CYBERCRIME,40,M,Blunt Object,Violent Crime,1,No,
100056,15-12-2025 03:30,14-12-2025 00:30,14-12-2025 00:30,Hyderabad,222,ASSAULT,66,F,Explosives,Other Crime,12,No,
100057,05-01-2025 00:50,03-01-2025 00:50,03-01-2025 00:50,Visakhapatnam,294,DOMESTIC VIOLENCE,19,F,Explosives,Violent Crime,1,No,
100058,05-03-2025 14:52,03-03-2025 11:52,03-03-2025 11:52,Patna,193,COUNTERFEITING,61,M,Blunt Object,Traffic Fatality,8,No,
100059,29-01-2025 20:13,28-01-2025 19:13,28-01-2025 19:13,Mumbai,396,SHOPLIFTING,26,F,Poison,Fire Accident,5,No,
100060,01-01-2026 15:50,30-12-2025 19:50,30-12-2025 19:50,Bhopal,345,VEHICLE - STOLEN,50,F,Firearm,Other Crime,9,No,
100061,19-03-2025 10:47,18-03-2025 16:47,18-03-2025 16:47,Meerut,302,FIREARM OFFENSE,66,F,None,Violent Crime,22,Yes,08-04-2025 10:47
100062,18-04-2025 04:40,17-04-2025 04:40,17-04-2025 04:40,Ahmedabad,194,SHOPLIFTING,26,M,Explosives,Other Crime,18,Yes,13-07-2025 04:40
100063,16-10-2025 09:54,13-10-2025 18:54,13-10-2025 18:54,Visakhapatnam,388,FIREARM OFFENSE,30,M,Other,Other Crime,8,Yes,09-11-2025 09:54
100064,30-04-2025 19:26,30-04-2025 00:26,30-04-2025 00:26,Patna,121,ARSON,77,F,None,Violent Crime,10,Yes,25-07-2025 19:26
100065,14-05-2025 01:42,13-05-2025 17:42,13-05-2025 17:42,Rajkot,142,SEXUAL ASSAULT,61,F,Knife,Fire Accident,9,No,
100066,13-01-2025 23:32,12-01-2025 18:32,12-01-2025 18:32,Srinagar,203,FIREARM OFFENSE,23,F,Firearm,Violent Crime,20,No,
100067,24-01-2025 21:20,24-01-2025 10:20,24-01-2025 10:20,Mumbai,581,ILLEGAL POSSESSION,56,M,Poison,Fire Accident,8,No,
100068,15-08-2025 17:13,14-08-2025 09:13,14-08-2025 09:13,Kanpur,174,DRUG OFFENSE,34,F,Poison,Traffic Fatality,24,Yes,08-11-2025 17:13
100069,31-01-2025 11:14,30-01-2025 01:14,30-01-2025 01:14,Pune,403,SEXUAL ASSAULT,26,M,Explosives,Violent Crime,25,Yes,11-03-2025 11:14
100070,09-01-2025 13:49,06-01-2025 20:49,06-01-2025 20:49,Lucknow,419,VANDALISM,60,M,Poison,Violent Crime,1,No,
100071,02-06-2025 15:15,31-05-2025 22:15,31-05-2025 22:15,Patna,389,CYBERCRIME,18,M,Poison,Fire Accident,8,Yes,22-08-2025 15:15
100072,10-05-2025 09:13,07-05-2025 16:13,07-05-2025 16:13,Pune,516,FIREARM OFFENSE,58,M,Blunt Object,Violent Crime,7,No,
100073,05-04-2025 06:47,05-04-2025 03:47,05-04-2025 03:47,Bhopal,183,ASSAULT,61,F,Other,Other Crime,18,No,
100074,25-12-2025 23:59,24-12-2025 11:59,24-12-2025 11:59,Srinagar,455,ILLEGAL POSSESSION,35,M,Other,Violent Crime,17,No,
100075,06-05-2025 03:15,04-05-2025 02:15,04-05-2025 02:15,Mumbai,438,EXTORTION,61,F,Blunt Object,Other Crime,17,No,
100076,10-07-2025 18:39,08-07-2025 23:39,08-07-2025 23:39,Jaipur,418,PUBLIC INTOXICATION,34,M,Explosives,Violent Crime,23,Yes,22-09-2025 18:39
100077,04-04-2025 19:37,02-04-2025 02:37,02-04-2025 02:37,Lucknow,453,PUBLIC INTOXICATION,20,M,Knife,Fire Accident,12,Yes,24-04-2025 19:37
100078,20-02-2025 02:19,19-02-2025 17:19,19-02-2025 17:19,Ghaziabad,463,SHOPLIFTING,30,M,Firearm,Other Crime,30,Yes,11-05-2025 02:19
100079,18-04-2025 00:14,17-04-2025 19:14,17-04-2025 19:14,Pune,421,VANDALISM,63,F,Other,Other Crime,2,No,
100080,27-04-2025 06:14,26-04-2025 22:14,26-04-2025 22:14,Rajkot,499,SEXUAL ASSAULT,55,M,None,Violent Crime,2,Yes,14-06-2025 06:14
100081,07-09-2025 13:01,05-09-2025 16:01,05-09-2025 16:01,Delhi,292,IDENTITY THEFT,12,M,Firearm,Violent Crime,18,Yes,15-11-2025 13:01
100082,09-09-2025 03:11,07-09-2025 10:11,07-09-2025 10:11,Hyderabad,470,ASSAULT,44,M,Blunt Object,Traffic Fatality,3,No,
100083,04-01-2025 18:17,03-01-2025 14:17,03-01-2025 14:17,Pune,528,VEHICLE - STOLEN,76,M,Poison,Traffic Fatality,15,Yes,24-01-2025 18:17
100084,21-05-2025 17:50,19-05-2025 02:50,19-05-2025 02:50,Rajkot,127,SHOPLIFTING,62,F,Other,Fire Accident,26,Yes,08-07-2025 17:50
100085,08-11-2025 00:21,07-11-2025 17:21,07-11-2025 17:21,Delhi,376,ROBBERY,52,M,Poison,Fire Accident,9,No,
100086,29-06-2025 03:15,26-06-2025 15:15,26-06-2025 15:15,Faridabad,594,DRUG OFFENSE,40,F,Blunt Object,Traffic Fatality,6,Yes,05-07-2025 03:15
100087,29-12-2025 05:33,27-12-2025 09:33,27-12-2025 09:33,Kolkata,403,FRAUD,37,F,None,Other Crime,12,Yes,19-01-2026 05:33
100088,26-06-2025 00:08,23-06-2025 01:08,23-06-2025 01:08,Rajkot,154,ROBBERY,76,M,Knife,Traffic Fatality,16,No,
100089,13-04-2025 21:06,12-04-2025 02:06,12-04-2025 02:06,Rajkot,347,ROBBERY,14,M,Other,Fire Accident,21,No,
100090,05-12-2025 13:47,04-12-2025 13:47,04-12-2025 13:47,Kolkata,521,VANDALISM,75,F,Blunt Object,Other Crime,2,Yes,23-12-2025 13:47
100091,19-10-2025 17:56,18-10-2025 08:56,18-10-2025 08:56,Srinagar,530,VANDALISM,26,F,Other,Traffic Fatality,10,No,
100092,24-09-2025 07:01,21-09-2025 14:01,21-09-2025 14:01,Ludhiana,592,TRAFFIC VIOLATION,18,M,Knife,Traffic Fatality,20,No,
100093,07-05-2025 00:36,07-05-2025 00:36,07-05-2025 00:36,Bangalore,290,ILLEGAL POSSESSION,72,F,Firearm,Violent Crime,25,No,
100094,16-10-2025 13:28,15-10-2025 01:28,15-10-2025 01:28,Srinagar,229,BURGLARY,18,F,Knife,Violent Crime,22,No,
100095,12-03-2025 15:22,10-03-2025 01:22,10-03-2025 01:22,Varanasi,466,IDENTITY THEFT,50,M,Explosives,Violent Crime,7,No,
100096,27-04-2025 12:11,26-04-2025 00:11,26-04-2025 00:11,Mumbai,517,IDENTITY THEFT,27,M,Other,Violent Crime,23,No,
100097,14-09-2025 08:36,12-09-2025 17:36,12-09-2025 17:36,Srinagar,483,BURGLARY,14,M,Knife,Fire Accident,8,Yes,22-11-2025 08:36
100098,05-08-2025 04:20,03-08-2025 22:20,03-08-2025 22:20,Kanpur,391,IDENTITY THEFT,17,F,Poison,Violent Crime,17,No,
100099,26-04-2025 23:00,26-04-2025 23:00,26-04-2025 23:00,Ahmedabad,240,DOMESTIC VIOLENCE,74,M,Firearm,Traffic Fatality,16,Yes,21-06-2025 23:00
100100,12-10-2025 04:37,11-10-2025 00:37,11-10-2025 00:37,Patna,162,TRAFFIC VIOLATION,40,F,None,Other Crime,24,Yes,23-11-2025 04:37
100101,15-02-2025 14:56,14-02-2025 01:56,14-02-2025 01:56,Mumbai,307,ROBBERY,25,F,Firearm,Violent Crime,4,No,
100102,14-02-2025 08:11,12-02-2025 06:11,12-02-2025 06:11,Hyderabad,145,FIREARM OFFENSE,61,M,Other,Fire Accident,20,No,
100103,30-09-2025 19:55,28-09-2025 13:55,28-09-2025 13:55,Chennai,193,SHOPLIFTING,31,F,Firearm,Violent Crime,12,No,
100104,16-02-2025 19:44,14-02-2025 10:44,14-02-2025 10:44,Kolkata,152,FIREARM OFFENSE,25,F,Poison,Violent Crime,29,Yes,07-03-2025 19:44
100105,05-05-2025 02:43,03-05-2025 10:43,03-05-2025 10:43,Kanpur,260,DRUG OFFENSE,62,F,Blunt Object,Fire Accident,3,No,
100106,06-10-2025 03:30,05-10-2025 19:30,05-10-2025 19:30,Hyderabad,229,COUNTERFEITING,73,M,Explosives,Fire Accident,30,Yes,08-11-2025 03:30
100107,17-09-2025 05:40,16-09-2025 23:40,16-09-2025 23:40,Surat,430,KIDNAPPING,39,F,Poison,Violent Crime,22,Yes,06-10-2025 05:40
100108,27-09-2025 10:52,26-09-2025 11:52,26-09-2025 11:52,Varanasi,304,TRAFFIC VIOLATION,17,F,Firearm,Fire Accident,20,Yes,14-10-2025 10:52
100109,15-09-2025 04:22,15-09-2025 03:22,15-09-2025 03:22,Chennai,410,DOMESTIC VIOLENCE,21,M,Poison,Violent Crime,24,Yes,18-10-2025 04:22
100110,26-05-2025 04:22,25-05-2025 00:22,25-05-2025 00:22,Ghaziabad,535,COUNTERFEITING,30,F,Other,Traffic Fatality,1,No,
100111,25-08-2025 15:08,25-08-2025 11:08,25-08-2025 11:08,Ahmedabad,148,ROBBERY,53,F,Blunt Object,Other Crime,22,No,
100112,24-10-2025 23:54,23-10-2025 10:54,23-10-2025 10:54,Hyderabad,318,CYBERCRIME,46,F,Other,Other Crime,16,No,
100113,16-05-2025 17:09,16-05-2025 01:09,16-05-2025 01:09,Rajkot,185,IDENTITY THEFT,21,F,Other,Traffic Fatality,27,Yes,04-07-2025 17:09
100114,11-04-2025 12:18,09-04-2025 22:18,09-04-2025 22:18,Thane,385,ILLEGAL POSSESSION,65,M,Poison,Violent Crime,3,Yes,10-05-2025 12:18
100115,20-12-2025 11:29,20-12-2025 04:29,20-12-2025 04:29,Delhi,197,BURGLARY,41,F,Other,Traffic Fatality,2,Yes,26-02-2026 11:29
100116,23-03-2025 14:19,20-03-2025 21:19,20-03-2025 21:19,Kolkata,245,IDENTITY THEFT,54,M,Knife,Fire Accident,29,Yes,06-05-2025 14:19
100117,26-08-2025 11:07,24-08-2025 17:07,24-08-2025 17:07,Kolkata,292,DRUG OFFENSE,33,M,Firearm,Traffic Fatality,29,No,
100118,10-12-2025 05:28,08-12-2025 04:28,08-12-2025 04:28,Thane,382,DOMESTIC VIOLENCE,41,M,Blunt Object,Fire Accident,29,Yes,16-02-2026 05:28
100119,05-10-2025 16:50,05-10-2025 02:50,05-10-2025 02:50,Vasai,596,TRAFFIC VIOLATION,18,M,Firearm,Fire Accident,14,No,
100120,14-08-2025 13:11,11-08-2025 19:11,11-08-2025 19:11,Faridabad,306,ARSON,38,M,Blunt Object,Fire Accident,28,Yes,06-11-2025 13:11
100121,04-10-2025 18:27,03-10-2025 01:27,03-10-2025 01:27,Thane,387,ARSON,19,M,Blunt Object,Traffic Fatality,28,Yes,10-11-2025 18:27
100122,10-09-2025 12:14,08-09-2025 18:14,08-09-2025 18:14,Agra,332,VANDALISM,64,F,Knife,Fire Accident,2,Yes,04-12-2025 12:14
100123,06-09-2025 06:06,03-09-2025 11:06,03-09-2025 11:06,Indore,570,ILLEGAL POSSESSION,64,M,Firearm,Fire Accident,17,Yes,08-10-2025 06:06
100124,18-02-2025 22:04,17-02-2025 22:04,17-02-2025 22:04,Delhi,345,IDENTITY THEFT,23,F,Blunt Object,Violent Crime,2,No,
100125,17-11-2025 06:37,16-11-2025 14:37,16-11-2025 14:37,Varanasi,121,PUBLIC INTOXICATION,54,M,Other,Fire Accident,24,No,
100126,19-10-2025 20:03,18-10-2025 07:03,18-10-2025 07:03,Thane,593,ASSAULT,32,F,Other,Fire Accident,28,No,
100127,17-08-2025 11:43,16-08-2025 06:43,16-08-2025 06:43,Ghaziabad,105,DRUG OFFENSE,40,M,None,Other Crime,13,Yes,27-09-2025 11:43
100128,07-05-2025 01:43,05-05-2025 08:43,05-05-2025 08:43,Vasai,202,FIREARM OFFENSE,12,F,None,Violent Crime,2,No,
100129,13-06-2025 19:04,13-06-2025 19:04,13-06-2025 19:04,Nashik,270,KIDNAPPING,24,M,Blunt Object,Traffic Fatality,21,No,
100130,16-06-2025 21:08,15-06-2025 13:08,15-06-2025 13:08,Kalyan,183,COUNTERFEITING,28,M,Blunt Object,Other Crime,30,Yes,19-06-2025 21:08
100131,09-10-2025 06:34,07-10-2025 10:34,07-10-2025 10:34,Ghaziabad,245,TRAFFIC VIOLATION,41,M,Firearm,Violent Crime,1,Yes,24-10-2025 06:34
100132,21-01-2025 16:51,21-01-2025 08:51,21-01-2025 08:51,Chennai,530,BURGLARY,15,M,Poison,Traffic Fatality,22,No,
100133,16-01-2025 17:08,14-01-2025 00:08,14-01-2025 00:08,Pune,498,FRAUD,14,F,Blunt Object,Other Crime,2,No,
100134,29-04-2025 10:30,28-04-2025 19:30,28-04-2025 19:30,Chennai,558,FIREARM OFFENSE,64,M,None,Traffic Fatality,30,Yes,17-07-2025 10:30
100135,24-03-2025 17:54,21-03-2025 20:54,21-03-2025 20:54,Jaipur,251,ROBBERY,37,M,None,Other Crime,29,No,
100136,24-09-2025 04:21,21-09-2025 14:21,21-09-2025 14:21,Vasai,264,SEXUAL ASSAULT,15,M,Knife,Traffic Fatality,23,Yes,08-11-2025 04:21
100137,30-08-2025 06:50,29-08-2025 01:50,29-08-2025 01:50,Vasai,105,TRAFFIC VIOLATION,49,F,Blunt Object,Fire Accident,10,Yes,17-09-2025 06:50
100138,09-08-2025 00:17,06-08-2025 01:17,06-08-2025 01:17,Varanasi,297,BURGLARY,20,M,Blunt Object,Traffic Fatality,8,No,
100139,13-12-2025 01:23,12-12-2025 23:23,12-12-2025 23:23,Rajkot,379,VANDALISM,69,M,Other,Traffic Fatality,12,Yes,25-02-2026 01:23
100140,12-09-2025 16:19,11-09-2025 17:19,11-09-2025 17:19,Ghaziabad,390,VANDALISM,34,F,Knife,Other Crime,5,Yes,27-09-2025 16:19
100141,19-04-2025 04:40,16-04-2025 14:40,16-04-2025 14:40,Pune,115,SEXUAL ASSAULT,53,M,Explosives,Other Crime,29,No,
100142,18-02-2025 19:17,16-02-2025 20:17,16-02-2025 20:17,Rajkot,175,KIDNAPPING,63,F,Poison,Fire Accident,1,No,
100143,02-10-2025 04:40,30-09-2025 01:40,30-09-2025 01:40,Vasai,276,CYBERCRIME,62,F,Explosives,Violent Crime,14,No,
100144,29-09-2025 09:25,28-09-2025 05:25,28-09-2025 05:25,Thane,290,SHOPLIFTING,68,F,None,Fire Accident,14,No,
100145,05-09-2025 07:44,03-09-2025 09:44,03-09-2025 09:44,Ghaziabad,377,DOMESTIC VIOLENCE,49,F,None,Fire Accident,1,No,
100146,03-05-2025 12:26,30-04-2025 16:26,30-04-2025 16:26,Rajkot,397,SEXUAL ASSAULT,29,M,Poison,Other Crime,17,Yes,14-05-2025 12:26
100147,18-12-2025 20:54,18-12-2025 05:54,18-12-2025 05:54,Ghaziabad,256,DRUG OFFENSE,59,M,Poison,Traffic Fatality,28,Yes,27-01-2026 20:54
100148,03-04-2025 22:41,02-04-2025 04:41,02-04-2025 04:41,Srinagar,238,TRAFFIC VIOLATION,17,F,Blunt Object,Other Crime,23,No,
100149,07-12-2025 21:41,05-12-2025 10:41,05-12-2025 10:41,Ghaziabad,227,VEHICLE - STOLEN,31,F,Knife,Fire Accident,29,Yes,19-02-2026 21:41
100150,24-01-2025 07:39,23-01-2025 04:39,23-01-2025 04:39,Nashik,419,KIDNAPPING,76,M,Blunt Object,Other Crime,11,No,
100151,20-09-2025 05:38,18-09-2025 05:38,18-09-2025 05:38,Vasai,344,KIDNAPPING,77,M,Knife,Other Crime,6,Yes,08-10-2025 05:38
100152,20-10-2025 01:13,19-10-2025 07:13,19-10-2025 07:13,Rajkot,474,ROBBERY,58,M,Other,Other Crime,15,No,
100153,19-04-2025 07:15,16-04-2025 09:15,16-04-2025 09:15,Bangalore,401,SHOPLIFTING,74,M,Knife,Traffic Fatality,25,Yes,03-05-2025 07:15
100154,02-11-2025 12:39,31-10-2025 04:39,31-10-2025 04:39,Delhi,438,VEHICLE - STOLEN,18,F,Knife,Fire Accident,3,No,
100155,21-05-2025 14:05,19-05-2025 03:05,19-05-2025 03:05,Ahmedabad,329,VANDALISM,53,F,Knife,Traffic Fatality,30,Yes,02-08-2025 14:05
100156,05-09-2025 05:19,02-09-2025 12:19,02-09-2025 12:19,Mumbai,215,DRUG OFFENSE,71,M,Blunt Object,Violent Crime,15,No,
100157,09-11-2025 15:08,06-11-2025 18:08,06-11-2025 18:08,Hyderabad,109,FIREARM OFFENSE,38,F,None,Other Crime,27,No,
100158,21-02-2025 19:14,19-02-2025 16:14,19-02-2025 16:14,Nagpur,331,SEXUAL ASSAULT,60,M,Explosives,Other Crime,28,Yes,09-05-2025 19:14
100159,16-01-2025 02:58,14-01-2025 19:58,14-01-2025 19:58,Rajkot,370,EXTORTION,27,F,Knife,Fire Accident,22,Yes,15-02-2025 02:58
100160,13-01-2025 15:04,12-01-2025 22:04,12-01-2025 22:04,Ludhiana,373,ASSAULT,26,F,None,Traffic Fatality,27,No,
100161,30-10-2025 04:23,28-10-2025 20:23,28-10-2025 20:23,Indore,244,FIREARM OFFENSE,42,F,Firearm,Other Crime,9,Yes,20-11-2025 04:23
100162,08-07-2025 08:45,06-07-2025 00:45,06-07-2025 00:45,Varanasi,168,COUNTERFEITING,49,F,Other,Traffic Fatality,13,Yes,02-10-2025 08:45
100163,07-09-2025 23:19,06-09-2025 23:19,06-09-2025 23:19,Mumbai,305,PUBLIC INTOXICATION,25,M,Blunt Object,Traffic Fatality,9,Yes,17-09-2025 23:19
100164,07-01-2025 17:57,07-01-2025 00:57,07-01-2025 00:57,Kolkata,495,SHOPLIFTING,31,F,Blunt Object,Violent Crime,23,Yes,01-02-2025 17:57
100165,15-09-2025 03:26,13-09-2025 23:26,13-09-2025 23:26,Vasai,459,ASSAULT,42,F,Knife,Violent Crime,7,Yes,29-10-2025 03:26
100166,07-07-2025 20:16,04-07-2025 20:16,04-07-2025 20:16,Lucknow,134,ROBBERY,20,F,Firearm,Other Crime,30,Yes,01-08-2025 20:16
100167,14-05-2025 00:07,12-05-2025 04:07,12-05-2025 04:07,Bhopal,460,KIDNAPPING,24,M,Explosives,Other Crime,8,Yes,05-07-2025 00:07
100168,02-03-2025 21:21,28-02-2025 18:21,28-02-2025 18:21,Indore,264,ROBBERY,56,F,Poison,Fire Accident,20,No,
100169,19-11-2025 08:59,18-11-2025 06:59,18-11-2025 06:59,Meerut,397,VANDALISM,21,M,Explosives,Traffic Fatality,11,Yes,24-01-2026 08:59
100170,07-09-2025 07:50,06-09-2025 21:50,06-09-2025 21:50,Lucknow,420,SHOPLIFTING,29,F,Other,Fire Accident,18,Yes,22-10-2025 07:50
100171,12-04-2025 07:02,11-04-2025 10:02,11-04-2025 10:02,Ahmedabad,376,CYBERCRIME,10,M,Blunt Object,Other Crime,22,Yes,21-05-2025 07:02
