Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Year,Month,Day of Week,Closure Time (Days)
16,2020-01-02 07:00:00,2020-01-01 15:00:00,18:54:00,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,2020-03-30 07:00:00,2020,1,Wednesday,88
17,2020-01-03 07:00:00,2020-01-01 16:00:00,02:57:00,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,,2020,1,Wednesday,0
18,2020-01-04 02:00:00,2020-01-01 17:00:00,23:09:00,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,2020,1,Wednesday,0
19,2020-01-02 20:00:00,2020-01-01 18:00:00,10:42:00,Bangalore,480,CYBERCRIME,11,M,Unknown,Other Crime,3,Yes,2020-01-24 20:00:00,2020,1,Wednesday,23
20,2020-01-03 18:00:00,2020-01-01 19:00:00,18:02:00,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,2020-03-05 18:00:00,2020,1,Wednesday,63
21,2020-01-03 22:00:00,2020-01-01 20:00:00,02:33:00,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,2020-01-22 22:00:00,2020,1,Wednesday,21
22,2020-01-03 12:00:00,2020-01-01 21:00:00,10:11:00,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,2020-03-03 12:00:00,2020,1,Wednesday,61
23,2020-01-02 10:00:00,2020-01-01 22:00:00,22:03:00,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,2020,1,Wednesday,0
24,2020-01-03 09:00:00,2020-01-01 23:00:00,23:40:00,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,2020,1,Wednesday,0
25,2020-01-03 01:00:00,2020-02-01 00:00:00,20:47:00,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,2020,2,Saturday,0
26,2020-01-02 16:00:00,2020-02-01 01:00:00,08:21:00,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,2020-03-12 16:00:00,2020,2,Saturday,40
27,2020-01-02 06:00:00,2020-02-01 02:00:00,04:02:00,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,,2020,2,Saturday,0
28,2020-01-02 15:00:00,2020-02-01 03:00:00,20:11:00,Lucknow,489,PUBLIC INTOXICATION,41,F,Unknown,Other Crime,7,No,,2020,2,Saturday,0
29,2020-01-04 14:00:00,2020-02-01 04:00:00,19:56:00,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,2020,2,Saturday,0
30,2020-01-04 23:00:00,2020-02-01 05:00:00,09:35:00,Bhopal,517,BURGLARY,37,F,Unknown,Other Crime,4,No,,2020,2,Saturday,0
31,2020-01-03 07:00:00,2020-02-01 06:00:00,13:06:00,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,2020,2,Saturday,0
32,2020-01-04 13:00:00,2020-02-01 07:00:00,15:05:00,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,2020-03-18 13:00:00,2020,2,Saturday,46
33,2020-01-03 04:00:00,2020-02-01 08:00:00,03:01:00,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,2020,2,Saturday,0
34,2020-01-05 07:00:00,2020-02-01 09:00:00,02:40:00,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,2020,2,Saturday,0
35,2020-01-04 21:00:00,2020-02-01 10:00:00,22:18:00,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,2020,2,Saturday,0
36,2020-01-04 21:00:00,2020-02-01 11:00:00,17:48:00,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,2020,2,Saturday,0
37,2020-01-03 05:00:00,2020-02-01 12:00:00,00:18:00,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,2020-07-02 05:00:00,2020,2,Saturday,151
38,2020-01-04 05:00:00,2020-02-01 13:00:00,18:04:00,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,2020,2,Saturday,0
39,2020-01-03 23:00:00,2020-02-01 14:00:00,21:24:00,Surat,487,VEHICLE - STOLEN,32,F,Unknown,Violent Crime,13,Yes,2020-03-11 23:00:00,2020,2,Saturday,39
40,2020-01-03 02:00:00,2020-02-01 15:00:00,14:05:00,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,2020-01-15 02:00:00,2020,2,Saturday,-18
41,2020-01-05 01:00:00,2020-02-01 16:00:00,01:51:00,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,2020,2,Saturday,0
42,2020-01-03 11:00:00,2020-02-01 17:00:00,11:09:00,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,,2020,2,Saturday,0
43,2020-01-03 03:00:00,2020-02-01 18:00:00,09:30:00,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,2020-03-17 03:00:00,2020,2,Saturday,44
44,2020-01-04 07:00:00,2020-02-01 19:00:00,08:34:00,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,,2020,2,Saturday,0
45,2020-01-05 19:00:00,2020-02-01 20:00:00,06:22:00,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,2020-01-12 19:00:00,2020,2,Saturday,-21
46,2020-01-04 19:00:00,2020-02-01 21:00:00,09:02:00,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,,2020,2,Saturday,0
47,2020-01-05 04:00:00,2020-02-01 22:00:00,09:55:00,Delhi,555,ROBBERY,47,F,Unknown,Violent Crime,9,No,,2020,2,Saturday,0
48,2020-01-05 17:00:00,2020-02-01 23:00:00,03:42:00,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,2020-03-14 17:00:00,2020,2,Saturday,41
49,2020-01-05 19:00:00,2020-03-01 00:00:00,02:59:00,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,2020,3,Sunday,0
50,2020-01-03 13:00:00,2020-03-01 01:00:00,06:06:00,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,2020,3,Sunday,0
51,2020-01-03 05:00:00,2020-03-01 02:00:00,17:10:00,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,2020-04-13 05:00:00,2020,3,Sunday,43
52,2020-01-05 12:00:00,2020-03-01 03:00:00,19:13:00,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,2020-04-14 12:00:00,2020,3,Sunday,44
53,2020-01-05 00:00:00,2020-03-01 04:00:00,22:01:00,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,2020-01-20 00:00:00,2020,3,Sunday,-42
54,2020-01-05 10:00:00,2020-03-01 05:00:00,18:47:00,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,,2020,3,Sunday,0
55,2020-01-06 02:00:00,2020-03-01 06:00:00,07:47:00,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,2020,3,Sunday,0
56,2020-01-04 04:00:00,2020-03-01 07:00:00,11:11:00,Meerut,596,BURGLARY,49,F,Unknown,Other Crime,19,No,,2020,3,Sunday,0
57,2020-01-06 01:00:00,2020-03-01 08:00:00,20:16:00,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,2020-07-20 01:00:00,2020,3,Sunday,140
58,2020-01-03 18:00:00,2020-03-01 09:00:00,09:43:00,Ahmedabad,110,ASSAULT,70,F,Unknown,Violent Crime,15,No,,2020,3,Sunday,0
59,2020-01-04 14:00:00,2020-03-01 10:00:00,02:40:00,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,2020,3,Sunday,0
60,2020-01-05 18:00:00,2020-03-01 11:00:00,05:33:00,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,2020-03-31 18:00:00,2020,3,Sunday,30
61,2020-01-03 22:00:00,2020-03-01 12:00:00,15:04:00,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,,2020,3,Sunday,0
62,2020-01-05 21:00:00,2020-03-01 13:00:00,03:32:00,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,2020-02-09 21:00:00,2020,3,Sunday,-21
63,2020-01-03 20:00:00,2020-03-01 14:00:00,09:27:00,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,2020-03-15 20:00:00,2020,3,Sunday,14
64,2020-01-06 06:00:00,2020-03-01 15:00:00,23:24:00,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,2020-03-20 06:00:00,2020,3,Sunday,18
65,2020-01-05 18:00:00,2020-03-01 16:00:00,00:59:00,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,2020,3,Sunday,0
66,2020-01-06 14:00:00,2020-03-01 17:00:00,11:49:00,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,2020-03-15 14:00:00,2020,3,Sunday,13
67,2020-01-03 21:00:00,2020-03-01 18:00:00,17:48:00,Bhopal,306,CYBERCRIME,25,M,Unknown,Other Crime,6,No,,2020,3,Sunday,0
68,2020-01-04 20:00:00,2020-03-01 19:00:00,08:46:00,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,2020-05-02 20:00:00,2020,3,Sunday,62
69,2020-01-06 09:00:00,2020-03-01 20:00:00,02:24:00,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,2020-01-17 09:00:00,2020,3,Sunday,-45
70,2020-01-06 12:00:00,2020-03-01 21:00:00,17:23:00,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,2020,3,Sunday,0
71,2020-01-06 20:00:00,2020-03-01 22:00:00,00:50:00,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,2020,3,Sunday,0
72,2020-01-05 18:00:00,2020-03-01 23:00:00,11:34:00,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,2020-03-23 18:00:00,2020,3,Sunday,21
73,2020-01-05 21:00:00,2020-04-01 00:00:00,07:58:00,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,2020,4,Wednesday,0
74,2020-01-06 05:00:00,2020-04-01 01:00:00,03:01:00,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,2020-01-20 05:00:00,2020,4,Wednesday,-72
75,2020-01-05 02:00:00,2020-04-01 02:00:00,01:45:00,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,2020,4,Wednesday,0
76,2020-01-06 00:00:00,2020-04-01 03:00:00,20:57:00,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,2020-01-26 00:00:00,2020,4,Wednesday,-67
77,2020-01-04 22:00:00,2020-04-01 04:00:00,14:30:00,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,2020,4,Wednesday,0
78,2020-01-05 21:00:00,2020-04-01 05:00:00,17:02:00,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,2020-03-29 21:00:00,2020,4,Wednesday,-3
79,2020-01-05 20:00:00,2020-04-01 06:00:00,03:40:00,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,2020,4,Wednesday,0
80,2020-01-07 03:00:00,2020-04-01 07:00:00,23:54:00,Visakhapatnam,154,VEHICLE - STOLEN,54,F,Unknown,Violent Crime,15,Yes,2020-01-15 03:00:00,2020,4,Wednesday,-78
81,2020-01-05 03:00:00,2020-04-01 08:00:00,23:33:00,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,2020-03-04 03:00:00,2020,4,Wednesday,-29
82,2020-01-06 05:00:00,2020-04-01 09:00:00,15:37:00,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,2020,4,Wednesday,0
83,2020-01-06 12:00:00,2020-04-01 10:00:00,09:17:00,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,2020-03-21 12:00:00,2020,4,Wednesday,-11
84,2020-01-04 19:00:00,2020-04-01 11:00:00,06:13:00,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,2020-01-20 19:00:00,2020,4,Wednesday,-72
85,2020-01-05 18:00:00,2020-04-01 12:00:00,12:40:00,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,,2020,4,Wednesday,0
86,2020-01-06 17:00:00,2020-04-01 13:00:00,06:42:00,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,2020-03-11 17:00:00,2020,4,Wednesday,-21
87,2020-01-07 06:00:00,2020-04-01 14:00:00,16:00:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,2020-01-18 06:00:00,2020,4,Wednesday,-75
88,2020-01-07 03:00:00,2020-04-01 15:00:00,22:04:00,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,2020,4,Wednesday,0
89,2020-01-06 22:00:00,2020-04-01 16:00:00,21:21:00,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,2020,4,Wednesday,0
90,2020-01-06 18:00:00,2020-04-01 17:00:00,06:38:00,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,2020,4,Wednesday,0
91,2020-01-05 04:00:00,2020-04-01 18:00:00,17:15:00,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,2020,4,Wednesday,0
92,2020-01-04 20:00:00,2020-04-01 19:00:00,09:21:00,Jaipur,510,CYBERCRIME,60,F,Unknown,Other Crime,7,No,,2020,4,Wednesday,0
93,2020-01-05 16:00:00,2020-04-01 20:00:00,07:36:00,Hyderabad,597,FRAUD,53,M,Unknown,Other Crime,13,Yes,2020-04-01 16:00:00,2020,4,Wednesday,-1
94,2020-01-06 21:00:00,2020-04-01 21:00:00,08:12:00,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,2020,4,Wednesday,0
95,2020-01-06 08:00:00,2020-04-01 22:00:00,22:16:00,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,,2020,4,Wednesday,0
96,2020-01-06 08:00:00,2020-04-01 23:00:00,14:10:00,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,2020,4,Wednesday,0
97,2020-01-06 02:00:00,2020-05-01 00:00:00,15:36:00,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,2020-02-12 02:00:00,2020,5,Friday,-79
98,2020-01-06 17:00:00,2020-05-01 01:00:00,02:56:00,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,,2020,5,Friday,0
99,2020-01-06 23:00:00,2020-05-01 02:00:00,14:38:00,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,2020-01-23 23:00:00,2020,5,Friday,-99
100,2020-01-06 20:00:00,2020-05-01 03:00:00,06:41:00,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,2020-01-22 20:00:00,2020,5,Friday,-100
101,2020-01-06 23:00:00,2020-05-01 04:00:00,14:02:00,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,2020-01-14 23:00:00,2020,5,Friday,-108
102,2020-01-05 16:00:00,2020-05-01 05:00:00,22:34:00,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,2020,5,Friday,0
103,2020-01-07 00:00:00,2020-05-01 06:00:00,17:43:00,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,2020,5,Friday,0
104,2020-01-07 16:00:00,2020-05-01 07:00:00,14:13:00,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,2020-02-19 16:00:00,2020,5,Friday,-72
105,2020-01-06 23:00:00,2020-05-01 08:00:00,19:30:00,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,2020,5,Friday,0
106,2020-01-06 00:00:00,2020-05-01 09:00:00,10:05:00,Hyderabad,583,VEHICLE - STOLEN,69,F,Unknown,Violent Crime,12,Yes,2020-02-22 00:00:00,2020,5,Friday,-70
107,2020-01-05 11:00:00,2020-05-01 10:00:00,17:21:00,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,2020,5,Friday,0
108,2020-01-07 12:00:00,2020-05-01 11:00:00,09:35:00,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,2020-02-09 12:00:00,2020,5,Friday,-82
109,2020-01-07 20:00:00,2020-05-01 12:00:00,00:07:00,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,2020,5,Friday,0
110,2020-01-05 17:00:00,2020-05-01 13:00:00,23:32:00,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,2020,5,Friday,0
111,2020-01-07 04:00:00,2020-05-01 14:00:00,23:24:00,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,2020-02-16 04:00:00,2020,5,Friday,-76
112,2020-01-08 05:00:00,2020-05-01 15:00:00,07:02:00,Delhi,183,COUNTERFEITING,37,F,Unknown,Other Crime,6,No,,2020,5,Friday,0
113,2020-01-07 09:00:00,2020-05-01 16:00:00,14:55:00,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,2021-11-08 09:00:00,2020,5,Friday,555
114,2020-01-06 15:00:00,2020-05-01 17:00:00,06:42:00,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,,2020,5,Friday,0
115,2020-01-07 13:00:00,2020-05-01 18:00:00,08:02:00,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,2020-02-03 13:00:00,2020,5,Friday,-89
116,2020-01-05 20:00:00,2020-05-01 19:00:00,06:26:00,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,,2020,5,Friday,0
117,2020-01-07 04:00:00,2020-05-01 20:00:00,10:15:00,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,2020-03-13 04:00:00,2020,5,Friday,-50
118,2020-01-06 20:00:00,2020-05-01 21:00:00,02:16:00,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,2020-03-30 20:00:00,2020,5,Friday,-33
119,2020-01-07 19:00:00,2020-05-01 22:00:00,23:48:00,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,2020-02-27 19:00:00,2020,5,Friday,-65
120,2020-01-07 02:00:00,2020-05-01 23:00:00,07:04:00,Pune,537,TRAFFIC VIOLATION,70,M,Unknown,Traffic Fatality,3,Yes,2020-01-27 02:00:00,2020,5,Friday,-96
121,2020-01-07 14:00:00,2020-06-01 00:00:00,12:16:00,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,2020-01-22 14:00:00,2020,6,Monday,-131
122,2020-01-08 19:00:00,2020-06-01 01:00:00,22:59:00,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,2020-04-06 19:00:00,2020,6,Monday,-56
123,2020-01-06 04:00:00,2020-06-01 02:00:00,00:00:00,Bhopal,432,VANDALISM,60,F,Unknown,Other Crime,4,No,,2020,6,Monday,0
124,2020-01-08 23:00:00,2020-06-01 03:00:00,06:56:00,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,,2020,6,Monday,0
125,2020-01-09 00:00:00,2020-06-01 04:00:00,19:19:00,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,,2020,6,Monday,0
126,2020-01-09 02:00:00,2020-06-01 05:00:00,05:15:00,Pune,127,ASSAULT,62,F,Unknown,Violent Crime,10,No,,2020,6,Monday,0
127,2020-01-07 07:00:00,2020-06-01 06:00:00,00:44:00,Surat,117,FIREARM OFFENSE,42,F,Unknown,Fire Accident,8,No,,2020,6,Monday,0
128,2020-01-07 04:00:00,2020-06-01 07:00:00,02:17:00,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,2020-04-01 04:00:00,2020,6,Monday,-62
129,2020-01-09 04:00:00,2020-06-01 08:00:00,12:39:00,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,No,,2020,6,Monday,0
130,2020-01-08 14:00:00,2020-06-01 09:00:00,14:55:00,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,2020-05-20 14:00:00,2020,6,Monday,-12
131,2020-01-08 13:00:00,2020-06-01 10:00:00,19:26:00,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,,2020,6,Monday,0
132,2020-01-07 04:00:00,2020-06-01 11:00:00,06:55:00,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,,2020,6,Monday,0
133,2020-01-06 23:00:00,2020-06-01 12:00:00,19:17:00,Bangalore,309,HOMICIDE,18,M,Unknown,Other Crime,2,No,,2020,6,Monday,0
134,2020-01-06 22:00:00,2020-06-01 13:00:00,00:56:00,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,,2020,6,Monday,0
135,2020-01-06 18:00:00,2020-06-01 14:00:00,07:26:00,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,,2020,6,Monday,0
136,2020-01-09 07:00:00,2020-06-01 15:00:00,02:16:00,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,,2020,6,Monday,0
137,2020-01-07 23:00:00,2020-06-01 16:00:00,01:01:00,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,2020-01-23 23:00:00,2020,6,Monday,-130
138,2020-01-08 12:00:00,2020-06-01 17:00:00,20:11:00,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,,2020,6,Monday,0
139,2020-01-08 17:00:00,2020-06-01 18:00:00,07:11:00,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,,2020,6,Monday,0
140,2020-01-08 16:00:00,2020-06-01 19:00:00,01:17:00,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,2020-02-06 16:00:00,2020,6,Monday,-117
141,2020-01-08 13:00:00,2020-06-01 20:00:00,14:13:00,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,,2020,6,Monday,0
142,2020-01-07 23:00:00,2020-06-01 21:00:00,06:34:00,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,2020-03-27 23:00:00,2020,6,Monday,-66
143,2020-01-07 09:00:00,2020-06-01 22:00:00,12:37:00,Mumbai,278,ILLEGAL POSSESSION,45,F,Unknown,Other Crime,2,No,,2020,6,Monday,0
144,2020-01-07 06:00:00,2020-06-01 23:00:00,16:49:00,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,2020-02-04 06:00:00,2020,6,Monday,-119
145,2020-01-08 20:00:00,2020-07-01 00:00:00,03:38:00,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,No,,2020,7,Wednesday,0
146,2020-01-08 01:00:00,2020-07-01 01:00:00,16:44:00,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,,2020,7,Wednesday,0
147,2020-01-07 16:00:00,2020-07-01 02:00:00,18:49:00,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,2020-01-26 16:00:00,2020,7,Wednesday,-157
148,2020-01-07 16:00:00,2020-07-01 03:00:00,22:27:00,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,,2020,7,Wednesday,0
149,2020-01-07 06:00:00,2020-07-01 04:00:00,01:09:00,Agra,558,IDENTITY THEFT,41,F,Unknown,Violent Crime,5,Yes,2020-02-27 06:00:00,2020,7,Wednesday,-125
150,2020-01-07 08:00:00,2020-07-01 05:00:00,11:19:00,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,2020-04-03 08:00:00,2020,7,Wednesday,-89
151,2020-01-08 08:00:00,2020-07-01 06:00:00,13:59:00,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,2020-03-27 08:00:00,2020,7,Wednesday,-96
152,2020-01-07 08:00:00,2020-07-01 07:00:00,16:17:00,Bangalore,311,ILLEGAL POSSESSION,67,M,Unknown,Other Crime,16,No,,2020,7,Wednesday,0
